Film,Year,IMDb's Top 250,Rotten Tomatoes' Top 100,Empire's Top 100,AFI's Top 100,BFI's Top 100
The Godfather,1972,2,17,3,2,21
Citizen Kane,1941,93,2,40,1,2
Casablanca,1942,42,8,33,3,84
"The Godfather, Part II",1974,4,99,14,32,31
Singin' in the Rain,1952,85,52,67,5,20
Psycho,1960,32,88,81,14,35
Rear Window,1954,49,47,72,48,53
Apocalypse Now,1979,55,0,29,30,14
2001: A Space Odyssey,1968,89,0,23,15,6
Seven Samurai,1954,20,49,65,0,17
Vertigo,1958,99,0,50,9,1
Sunset Blvd,1950,60,21,0,16,63
Modern Times,1936,45,4,0,78,63
Lawrence of Arabia,1962,95,0,62,7,81
North by Northwest,1959,98,79,0,55,53
Star Wars,1977,27,0,11,13,0
Parasite,2019,35,6,18,0,0
Schindler's List,1993,6,0,46,8,0
Lord of the Rings: The Fellowship of the Ring,2001,9,0,1,50,0
Shawshank Redemption,1994,1,0,5,72,0
It's a Wonderful Life,1946,21,0,44,20,0
Pulp Fiction,1994,8,0,7,94,0
Avengers: Endgame,2019,81,7,22,0,0
City Lights,1931,51,0,0,11,50
One Flew Over the Cuckoo's Nest,1975,18,0,66,33,0
Goodfellas,1990,17,0,10,92,0
Raiders of the Lost Ark,1981,56,0,9,66,0
12 Angry Men,1957,5,0,42,87,0
The Silence of the Lambs,1991,22,0,41,74,0
Taxi Driver,1976,0,0,55,52,31
Saving Private Ryan,1998,24,0,54,71,0
E.T. the Extra Terrestrial,1982,0,48,79,24,0
Alien,1979,50,84,21,0,0
Spider-Man: Into the Spider-verse,2018,70,19,70,0,0
Blade Runner,1982,0,0,16,97,69
Double Indemnity,1944,100,54,0,29,0
The Dark Knight,2008,3,0,4,0,0
The Wizard of Oz,1939,0,3,0,10,0
Star Wars: Episode V- The Empire Strikes Back,1980,15,0,2,0,0
The Searchers,1956,0,0,0,12,7
Mad Max: Fury Road,2015,0,18,12,0,0
Inception,2010,13,0,19,0,0
Lord of the Rings: Return of the King,2003,7,0,27,0,0
The Matrix,1999,16,0,20,0,0
Fight Club,1999,12,0,25,0,0
Back to the Future,1985,30,0,13,0,0
It Happened One Night,1934,0,1,0,46,0
"The Good, the Bad, and the Ugly",1966,10,0,38,0,0
Lord of the Rings: The Two Towers,2002,14,0,34,0,0
All About Eve,1950,0,22,0,28,0
